Type_L,Type_M,Process temperature [K],Temperature difference,Rotational speed [rpm],Torque [Nm],Power [W],Tool wear [min],Machine failure
False,False,308.4,9.8,1407,50.5,7440.71,164,0
False,True,308.4,9.8,1391,42.4,6176.2,169,0
True,False,308.4,9.9,1513,33.6,5323.62,172,0
False,False,308.4,9.9,1612,36.1,6093.98,174,0
True,False,308.4,10.0,1515,40.1,6361.88,179,0
False,True,308.3,10.0,1379,48.0,6931.61,181,0
True,False,308.3,9.9,1473,39.9,6154.66,184,0
True,False,308.3,9.9,1422,42.7,6358.52,186,0
False,True,308.2,9.8,1463,37.6,5760.51,188,0
False,True,308.2,9.8,1584,41.0,6800.92,191,0
True,False,308.2,9.8,1850,27.0,5230.75,194,0
True,False,308.2,9.8,1528,36.2,5792.43,196,0
False,False,308.2,9.8,1987,19.8,4119.95,198,0
False,True,308.1,9.7,1495,46.0,7201.58,203,0
False,False,308.2,9.8,1478,43.5,6732.75,206,0
False,True,308.2,9.8,1499,40.0,6279.0,211,0
True,False,308.2,9.8,1471,47.0,7240.01,214,0
True,False,308.2,9.8,1282,60.7,8149.02,216,1
True,False,308.1,9.8,1412,52.3,7733.3,218,1
True,False,308.1,9.8,1586,35.5,5896.04,0,0
False,True,308.2,9.8,1468,43.8,6733.31,2,0
False,True,308.3,9.8,1440,43.6,6574.73,5,0
True,False,308.4,9.9,1733,26.0,4718.46,8,0
False,False,308.2,9.8,1612,32.6,5503.15,10,0
False,False,308.3,9.9,1458,42.9,6550.03,15,0
True,False,308.3,9.9,1433,62.3,9348.95,20,1
True,False,308.3,9.9,1318,59.1,8157.02,22,0
False,True,308.2,9.8,1610,35.0,5900.96,24,0
True,False,308.1,9.9,1462,50.8,7777.49,27,0
False,True,308.0,9.9,1924,20.8,4190.8,29,0
False,True,308.0,9.8,1591,33.7,5614.73,32,0
True,False,308.1,9.9,1306,58.3,7973.34,35,0
True,False,308.1,9.9,1382,43.5,6295.44,37,0
True,False,308.1,9.9,1618,34.7,5879.45,39,0
True,False,308.2,10.0,1988,21.4,4455.11,41,0
True,False,308.2,10.0,1436,50.2,7548.95,43,0
True,False,308.3,10.1,1304,49.8,6800.42,45,0
True,False,308.3,10.1,1475,49.9,7707.64,47,0
False,False,308.3,10.1,1824,24.2,4622.41,49,0
False,True,308.2,10.1,1342,48.1,6759.68,54,0
True,False,308.2,10.1,1485,40.7,6329.21,57,0
True,False,308.2,10.0,1667,30.6,5341.78,59,0
True,False,308.2,10.0,1446,38.2,5784.43,61,0
True,False,308.3,10.2,1301,56.0,7629.46,63,0
True,False,308.4,10.2,1379,43.1,6224.01,65,0
True,False,308.5,10.2,1606,33.6,5650.85,67,0
False,True,308.4,10.1,1539,43.4,6994.5,69,0
True,False,308.4,10.2,1477,49.9,7718.09,72,0
True,False,308.4,10.2,1666,34.6,6036.42,74,0
False,False,308.4,10.2,1398,51.8,7583.43,76,0
False,False,308.4,10.2,1678,34.6,6079.9,81,0
False,True,308.5,10.3,2678,10.7,3000.7,86,1
True,False,308.5,10.2,1453,42.9,6527.57,89,0
False,False,308.6,10.3,1432,49.5,7422.96,91,0
False,True,308.6,10.2,1527,40.9,6540.2,96,0
True,False,308.7,10.3,1588,35.0,5820.32,99,0
True,False,308.6,10.2,1433,47.1,7067.99,101,0
True,False,308.6,10.2,1609,35.0,5897.29,103,0
True,False,308.5,10.2,1575,41.2,6795.26,105,0
False,True,308.5,10.1,1636,35.7,6116.18,107,0
True,False,308.5,10.1,1490,37.9,5913.63,110,0
True,False,308.5,10.1,1741,32.8,5980.0,112,0
False,True,308.6,10.1,1344,53.0,7459.4,114,0
True,False,308.7,10.2,1609,35.3,5947.84,117,0
False,True,308.7,10.3,1421,60.7,9032.57,119,1
True,False,308.6,10.2,1591,36.7,6114.56,122,0
True,False,308.6,10.2,1477,44.0,6805.53,124,0
True,False,308.7,10.3,1523,36.1,5757.52,126,0
True,False,308.7,10.2,1575,33.9,5591.25,128,0
False,False,308.7,10.3,1344,52.9,7445.32,130,0
True,False,308.7,10.3,1386,44.9,6516.86,135,0
False,True,308.6,10.3,1589,37.1,6173.43,137,0
True,False,308.6,10.3,1548,40.3,6532.88,140,0
True,False,308.6,10.3,1499,38.3,6012.14,142,0
True,False,308.5,10.2,1664,31.6,5506.42,144,0
True,False,308.6,10.3,1447,38.1,5773.27,146,0
False,True,308.5,10.2,1434,46.2,6937.77,148,0
True,False,308.5,10.2,1416,52.7,7814.52,151,0
False,False,308.5,10.1,1827,24.3,4649.15,153,0
True,False,308.6,10.2,1304,45.0,6144.96,158,0
True,False,308.6,10.2,1569,34.4,5652.1,160,0
True,False,308.6,10.3,1584,29.3,4860.17,162,0
True,False,308.5,10.2,1362,53.8,7673.4,164,0
True,False,308.4,10.1,1329,49.2,6847.29,166,0
True,False,308.5,10.2,1539,36.1,5818.01,168,0
False,True,308.5,10.2,1629,37.1,6328.83,170,0
True,False,308.5,10.2,1538,32.2,5186.1,173,0
True,False,308.6,10.3,1570,34.8,5721.47,175,0
True,False,308.4,10.1,1408,43.1,6354.9,177,0
True,False,308.4,10.2,1424,47.6,7098.16,179,0
True,False,308.4,10.2,1512,34.9,5525.94,181,0
True,False,308.4,10.2,1478,42.9,6639.88,183,0
False,True,308.3,10.2,1680,33.7,5928.81,185,0
True,False,308.3,10.2,1495,38.7,6058.72,188,0
False,True,308.1,10.1,1552,36.6,5948.42,190,0
True,False,308.1,10.2,1393,50.3,7337.49,193,0
True,False,308.2,10.2,1611,30.6,5162.33,195,0
False,True,308.1,10.1,1339,51.6,7235.34,197,0
True,False,308.1,10.1,1777,24.3,4521.91,200,0
True,False,308.2,10.2,1348,58.8,8300.34,202,1
True,False,308.2,10.2,1442,44.1,6659.36,204,0
False,True,308.2,10.2,1395,49.1,7172.73,206,0
False,True,308.1,10.2,1627,31.4,5349.9,209,0
True,False,308.1,10.2,1585,33.5,5560.36,212,0
True,False,308.2,10.2,1469,45.5,6999.42,214,0
True,False,308.3,10.3,1362,56.8,8101.29,216,1
True,False,308.3,10.3,1405,56.2,8268.78,218,1
True,False,308.3,10.3,1662,32.7,5691.25,0,0
False,True,308.2,10.2,1466,42.6,6539.92,2,0
True,False,308.2,10.2,1620,35.8,6073.33,5,0
True,False,308.2,10.2,1357,48.2,6849.45,7,0
True,False,308.2,10.2,1514,37.9,6008.88,9,0
True,False,308.2,10.2,1489,40.4,6299.48,11,0
True,False,308.3,10.2,1331,63.0,8781.07,13,0
True,False,308.0,10.0,1615,29.5,4989.11,15,0
True,False,308.2,10.1,1482,37.9,5881.88,17,0
False,True,308.2,10.1,1420,63.9,9502.06,19,1
False,True,308.3,10.1,1522,49.1,7825.73,22,0
True,False,308.2,10.1,1654,32.1,5559.93,25,0
False,True,308.2,10.1,1736,26.8,4872.07,27,0
False,True,308.1,10.1,1587,32.3,5367.95,30,0
True,False,308.2,10.1,1390,47.5,6914.12,33,0
True,False,308.1,10.1,1454,37.1,5648.94,35,0
False,False,308.1,10.1,1440,43.7,6589.8,37,0
True,False,308.0,10.1,1954,21.1,4317.53,42,0
False,False,308.0,10.1,1800,24.8,4674.69,44,0
True,False,308.0,10.0,1524,37.0,5904.94,49,0
False,False,308.0,10.0,1520,39.6,6303.29,51,0
False,True,308.1,10.0,1452,40.8,6203.77,56,0
True,False,308.1,10.0,1484,40.4,6278.33,59,0
True,False,308.0,9.9,1426,46.0,6869.2,61,0
True,False,308.0,9.9,1652,28.5,4930.42,63,0
True,False,308.0,10.0,1401,54.7,8025.17,65,0
False,True,307.9,9.9,1750,26.6,4874.7,67,0
False,False,308.0,10.0,1479,50.7,7852.44,70,0
False,True,308.0,10.0,1620,29.4,4987.59,75,0
True,False,308.1,10.1,1819,23.4,4457.35,78,0
False,True,308.1,10.0,1456,43.7,6663.02,80,0
True,False,308.0,9.9,1626,36.5,6215.01,83,0
False,True,308.1,10.0,1390,49.8,7248.91,85,0
True,False,308.2,10.0,1469,43.0,6614.83,88,0
True,False,308.3,10.1,2051,19.2,4123.78,90,0
True,False,308.3,10.1,1568,36.0,5911.22,92,0
True,False,308.3,10.1,1589,33.2,5524.47,94,0
True,False,308.3,10.1,1805,31.6,5973.01,96,0
False,False,308.4,10.2,1385,42.2,6120.56,98,0
True,False,308.4,10.3,1436,46.7,7022.63,103,0
True,False,308.4,10.3,1438,45.6,6866.77,105,0
True,False,308.3,10.3,1473,42.6,6571.14,107,0
True,False,308.4,10.3,1335,40.2,5620.0,109,0
False,False,308.5,10.4,1392,44.8,6530.49,111,0
False,True,308.5,10.4,1372,51.1,7341.82,116,0
False,True,308.6,10.5,1716,30.7,5516.76,119,0
True,False,308.5,10.5,1395,46.2,6749.08,122,0
True,False,308.5,10.5,1713,25.3,4538.44,124,0
False,False,308.5,10.6,2129,18.7,4169.13,126,0
False,True,308.3,10.5,1567,35.6,5841.81,131,0
True,False,308.4,10.6,1622,38.3,6505.46,134,0
True,False,308.4,10.7,1740,27.1,4937.96,136,0
False,False,308.4,10.6,1512,35.1,5557.6,138,0
False,True,308.4,10.6,1479,43.5,6737.3,143,0
True,False,308.4,10.6,1737,27.5,5002.2,146,0
True,False,308.4,10.6,2129,19.2,4280.61,148,0
True,False,308.4,10.6,1374,47.1,6776.98,150,0
False,True,308.4,10.6,1579,36.6,6051.9,152,0
True,False,308.5,10.6,1305,47.2,6450.32,155,0
False,True,308.5,10.6,1449,40.8,6190.95,157,0
False,False,308.6,10.6,1526,41.8,6679.74,160,0
False,True,308.6,10.6,1453,44.1,6710.16,165,0
True,False,308.6,10.7,1468,36.0,5534.23,168,0
True,False,308.6,10.6,1313,50.8,6984.85,170,0
False,True,308.5,10.6,1300,53.0,7215.19,172,0
True,False,308.4,10.5,1646,40.6,6998.17,175,0
True,False,308.4,10.6,1714,33.2,5959.06,177,0
True,False,308.4,10.6,1685,28.4,5011.26,179,0
True,False,308.4,10.6,1512,39.9,6317.62,181,0
True,False,308.4,10.6,1612,32.1,5418.74,183,0
False,False,308.4,10.6,1550,38.2,6200.46,185,0
True,False,308.4,10.6,1518,32.5,5166.35,190,0
True,False,308.5,10.7,1448,40.0,6065.37,192,0
True,False,308.5,10.7,1561,46.3,7568.55,194,0
False,True,308.5,10.7,1488,41.9,6528.98,196,0
True,False,308.5,10.7,1699,27.8,4946.14,199,0
True,False,308.5,10.8,1501,41.4,6507.43,201,0
True,False,308.5,10.8,1373,56.7,8152.34,203,1
False,False,308.4,10.8,1703,31.4,5599.81,205,0
False,False,308.5,10.8,1720,29.9,5385.53,210,0
False,True,308.4,10.8,1398,41.9,6134.09,215,0
False,True,308.4,10.8,1391,51.9,7560.02,218,0
False,True,308.3,10.7,1538,40.2,6474.57,0,0
True,False,308.2,10.7,1647,31.3,5398.42,3,0
False,True,308.1,10.6,1469,44.8,6891.73,5,0
True,False,308.1,10.7,1749,25.9,4743.71,8,0
False,True,308.2,10.6,1995,20.5,4282.78,10,0
True,False,308.3,10.7,1742,27.7,5053.08,13,0
True,False,308.2,10.7,1563,38.2,6252.46,15,0
False,True,308.2,10.7,1713,32.2,5776.2,17,0
True,False,308.1,10.7,1474,39.4,6081.66,20,0
False,True,308.2,10.8,1530,32.6,5223.21,22,0
True,False,308.2,10.8,1471,46.5,7162.99,25,0
True,False,308.3,10.8,1388,48.6,7064.06,27,0
False,True,308.2,10.7,2448,13.8,3537.68,29,0
True,False,308.3,10.8,1585,32.9,5460.77,32,0
False,True,308.3,10.8,1459,45.2,6905.93,34,0
True,False,308.3,10.8,1544,40.8,6596.84,37,0
True,False,308.3,10.7,1617,31.7,5367.82,39,0
True,False,308.3,10.7,1595,34.3,5729.06,41,0
False,False,308.3,10.7,1400,44.3,6494.72,43,0
False,True,308.4,10.8,1611,31.0,5229.81,48,0
False,True,308.4,10.8,1507,46.0,7259.38,51,0
False,False,308.3,10.8,1674,30.0,5259.03,54,0
True,False,308.3,10.7,1658,34.3,5955.35,59,0
True,False,308.3,10.7,1623,36.9,6271.53,61,0
False,True,308.4,10.8,1398,48.9,7158.87,63,0
True,False,308.4,10.8,1517,34.2,5433.01,66,0
False,True,308.3,10.7,1467,36.7,5638.0,68,0
False,True,308.3,10.7,1567,34.6,5677.72,71,0
False,True,308.3,10.8,1521,38.2,6084.45,74,0
True,False,308.3,10.8,1596,36.8,6150.48,77,0
False,False,308.3,10.7,1640,30.9,5306.78,79,0
True,False,308.3,10.7,1438,47.8,7198.06,84,0
True,False,308.4,10.8,1407,55.2,8133.21,86,0
True,False,308.4,10.8,1353,57.5,8146.94,88,0
False,True,308.5,10.9,1552,40.9,6647.27,90,0
False,True,308.4,10.8,1569,38.3,6292.89,93,0
True,False,308.4,10.9,1489,39.5,6159.14,96,0
False,False,308.4,10.9,1587,36.1,5999.47,98,0
False,True,308.3,10.8,1622,37.2,6318.62,103,0
True,False,308.4,10.9,1604,38.1,6399.68,106,0
False,True,308.3,10.9,1405,51.7,7606.69,108,0
True,False,308.3,10.9,1412,42.0,6210.3,111,0
True,False,308.3,10.9,1431,43.0,6443.72,113,0
True,False,308.2,10.8,1533,37.4,6004.02,115,0
False,True,308.2,10.8,1401,51.9,7614.37,117,0
False,True,308.2,10.8,1424,53.9,8037.62,120,0
True,False,308.2,10.9,1754,29.4,5400.15,123,0
True,False,308.2,10.9,1754,26.8,4922.58,125,0
True,False,308.3,10.8,2564,12.8,3436.82,127,1
True,False,308.5,11.0,1546,40.4,6540.63,129,0
True,False,308.5,11.0,1335,48.0,6710.44,131,0
False,True,308.6,11.1,1842,27.0,5208.13,133,0
True,False,308.5,11.0,1712,26.8,4804.71,136,0
False,True,308.6,11.0,1414,45.4,6722.55,138,0
True,False,308.7,11.1,1319,50.9,7030.58,141,0
True,False,308.7,11.0,1249,60.4,7900.02,143,0
True,False,308.7,11.1,1455,48.2,7344.1,145,0
False,True,308.7,11.1,1408,54.8,8080.01,147,0
True,False,308.7,11.1,1460,46.7,7140.0,150,0
True,False,308.6,11.0,1491,38.1,5948.83,152,0
False,True,308.5,10.9,1490,43.4,6771.81,154,0
False,True,308.4,10.9,1350,52.2,7379.6,157,0
True,False,308.4,10.9,1528,39.9,6384.47,160,0
True,False,308.3,10.9,1571,37.7,6202.21,162,0
True,False,308.3,10.9,1490,42.6,6646.98,164,0
False,True,308.3,10.9,1774,28.9,5368.84,166,0
False,False,308.3,10.9,1502,43.6,6857.8,169,0
True,False,308.4,11.0,1392,49.7,7244.76,174,0
True,False,308.5,11.1,2100,16.9,3716.5,176,0
True,False,308.5,11.0,1722,30.4,5481.95,178,0
True,False,308.6,11.2,1678,32.3,5675.75,180,0
True,False,308.6,11.3,1273,59.8,7971.83,182,0
True,False,308.6,11.3,1297,45.9,6234.21,184,0
True,False,308.5,11.2,1350,57.6,8143.01,186,0
True,False,308.6,11.2,1439,51.9,7820.9,188,0
False,True,308.5,11.1,1600,42.1,7053.92,190,0
False,True,308.6,11.2,1434,44.4,6667.46,193,0
True,False,308.6,11.2,1459,41.3,6310.07,196,0
False,True,308.6,11.1,1472,44.9,6921.22,198,0
True,False,308.7,11.2,1429,44.3,6629.25,201,0
True,False,308.6,11.1,1388,48.2,7005.92,203,0
True,False,308.4,11.0,1573,34.5,5682.98,205,0
True,False,308.4,11.0,1588,32.5,5404.59,207,0
True,False,308.4,10.9,1511,42.8,6772.31,209,0
True,False,308.5,11.1,1495,37.8,5917.82,211,0
True,False,308.4,11.0,1394,50.1,7313.56,213,0
True,False,308.4,11.0,2151,17.7,3986.96,0,0
False,True,308.3,11.0,1501,38.2,6004.44,2,0
False,True,308.3,11.0,1301,39.6,5395.12,5,0
False,True,308.3,11.0,1657,31.1,5396.49,8,0
True,False,308.3,11.0,1333,55.2,7705.45,11,0
True,False,308.3,11.0,1484,43.9,6822.24,13,0
True,False,308.4,11.1,1430,45.7,6843.54,15,0
False,True,308.4,11.1,1665,28.9,5038.96,17,0
True,False,308.5,11.1,1501,44.9,7057.58,20,0
False,True,308.5,11.0,1496,42.2,6611.08,22,0
False,True,308.6,11.0,1595,36.9,6163.33,25,0
True,False,308.6,11.1,1208,62.3,7881.04,28,0
True,False,308.6,11.1,1596,37.1,6200.62,30,0
True,False,308.5,11.0,1446,41.9,6344.7,32,0
False,True,308.5,10.9,1466,39.7,6094.71,34,0
False,True,308.5,10.9,1848,23.7,4586.47,37,0
False,True,308.5,11.0,1484,44.7,6946.56,40,0
True,False,308.3,10.9,1493,41.2,6441.48,43,0
True,False,308.3,11.0,1504,36.3,5717.2,45,0
True,False,308.3,11.0,1538,38.5,6200.77,47,0
True,False,308.4,11.0,1341,52.2,7330.4,49,0
False,True,308.3,10.9,1535,34.6,5561.77,51,0
True,False,308.5,11.1,1389,39.2,5701.87,54,0
False,False,308.5,11.0,1393,46.6,6797.76,56,0
True,False,308.5,11.1,1399,61.5,9009.93,61,1
False,False,308.5,11.1,1469,45.1,6937.88,63,0
True,False,308.4,11.0,1582,37.2,6162.8,68,0
True,False,308.6,11.1,1793,26.7,5013.26,70,0
True,False,308.6,11.1,1452,39.0,5930.07,72,0
False,True,308.7,11.1,1376,59.9,8631.25,74,0
True,False,308.6,11.1,1552,44.9,7297.38,77,0
True,False,308.7,11.1,1622,37.9,6437.52,79,0
False,True,308.7,11.1,1419,41.7,6196.51,81,0
False,False,308.6,11.1,1440,46.1,6951.72,84,0
False,True,308.6,11.2,1643,31.0,5333.69,89,0
True,False,308.7,11.3,1510,36.2,5724.19,92,0
True,False,308.7,11.3,1468,46.6,7163.75,94,0
True,False,308.7,11.3,1429,57.4,8589.6,96,0
False,False,308.7,11.4,1478,47.6,7367.33,98,0
True,False,308.6,11.2,1276,53.6,7162.16,103,0
True,False,308.6,11.3,1486,42.6,6629.14,105,0
True,False,308.6,11.2,1476,42.3,6538.16,107,0
False,False,308.6,11.3,1431,42.0,6293.87,109,0
True,False,308.7,11.3,1402,40.2,5902.05,114,0
True,False,308.7,11.3,1433,43.4,6512.75,116,0
True,False,308.7,11.3,2874,4.2,1264.05,118,1
True,False,308.6,11.3,1511,35.7,5648.87,120,0
False,True,308.6,11.3,1456,42.9,6541.05,122,0
True,False,308.5,11.3,1550,41.5,6736.1,125,0
True,False,308.5,11.3,2182,16.5,3770.23,127,0
True,False,308.7,11.4,1619,31.6,5357.5,129,0
False,True,308.8,11.5,1586,32.7,5431.0,131,0
False,False,308.8,11.5,1499,44.2,6938.29,134,0
False,False,308.8,11.5,1419,42.4,6300.53,139,0
False,True,309.0,11.6,1497,41.8,6552.8,144,0
False,True,309.0,11.6,1520,37.0,5889.44,147,0
True,False,309.1,11.7,1478,49.8,7707.83,150,0
True,False,309.1,11.7,1380,41.1,5939.5,152,0
True,False,309.0,11.6,1570,37.9,6231.14,154,0
False,False,309.0,11.6,1468,41.4,6364.36,156,0
True,False,309.0,11.6,1833,22.6,4338.1,161,0
False,True,308.9,11.5,1323,57.3,7938.58,163,0
True,False,309.0,11.6,1583,32.0,5304.68,166,0
False,True,309.0,11.7,1556,39.5,6436.29,168,0
True,False,309.0,11.7,1548,37.4,6062.77,171,0
True,False,309.0,11.6,1324,56.9,7889.13,173,0
True,False,309.0,11.6,1568,33.7,5533.56,175,0
False,True,309.0,11.6,1685,30.7,5417.1,177,0
False,True,309.1,11.7,1582,35.9,5947.43,180,0
False,True,309.1,11.7,1463,35.0,5362.18,183,0
True,False,309.2,11.8,1584,42.8,7099.5,186,0
False,True,309.2,11.7,1347,55.8,7871.01,188,0
True,False,309.2,11.8,1459,37.9,5790.59,191,0
True,False,309.2,11.8,1420,45.6,6780.81,193,0
True,False,309.3,11.8,1404,43.5,6395.65,195,0
True,False,309.3,11.8,1470,38.8,5972.8,197,0
True,False,309.4,11.8,1326,49.8,6915.15,199,0
