record_index,Type_L,Type_M,Process temperature [K],Temperature difference,Rotational speed [rpm],Torque [Nm],Power [W],Tool wear [min]
886,1,0,306.2,10.5,1458,40.6,6198.86,103
8340,0,1,309.7,10.9,1480,38.1,5904.94,157
2726,0,1,309.4,9.6,1423,42.9,6392.8,124
1777,0,0,308.2,9.6,1555,36.8,5992.48,36
9723,1,0,309.8,11.0,1599,33.6,5626.22,131
8229,1,0,310.5,11.4,1739,27.4,4989.75,72
7488,1,0,311.7,11.4,1545,43.5,7037.95,160
4068,1,0,310.7,8.8,1405,48.8,7180.01,78
4965,0,1,312.7,8.9,1364,49.3,7041.9,167
5001,0,1,312.7,9.1,2174,17.6,4006.83,37
7728,1,0,311.8,11.1,1420,47.0,6989.0,119
9642,1,0,310.5,11.1,1372,46.3,6652.18,173
6957,1,0,311.1,10.4,1324,52.2,7237.48,85
2687,1,0,309.4,9.5,1348,52.8,7453.37,31
4866,1,0,312.4,8.8,1781,28.7,5352.72,124
5148,1,0,313.6,9.2,1507,43.1,6801.73,13
8749,1,0,308.4,11.2,1677,26.4,4636.24,146
4785,0,0,312.7,8.8,1401,50.0,7335.62,129
9238,0,1,308.8,10.6,1456,41.2,6281.84,150
2866,1,0,309.7,8.9,1997,20.7,4328.89,5
444,1,0,308.4,11.0,1582,37.2,6162.8,68
5962,1,0,310.8,10.3,1728,26.3,4759.14,125
6830,0,1,310.9,9.9,1359,53.4,7599.58,180
347,1,0,308.3,10.8,1544,40.8,6596.84,37
2715,0,1,309.0,9.5,1701,28.6,5094.47,98
7720,0,0,311.6,11.1,1476,41.7,6445.42,97
9803,1,0,309.2,10.8,1692,29.8,5280.14,137
5441,0,1,312.6,9.6,1392,42.9,6253.53,94
7136,0,1,309.9,9.4,1343,63.7,8958.68,124
5533,1,0,311.7,9.3,1721,26.9,4847.99,112
3840,1,0,311.0,8.6,1610,33.1,5580.62,161
2999,1,0,309.7,9.2,1395,61.0,8911.13,157
1823,1,0,307.7,9.6,1414,48.7,7211.19,159
9472,0,1,309.4,10.7,1375,48.3,6954.7,157
8794,0,1,308.5,11.1,1497,36.4,5706.26,56
5218,1,0,312.9,9.1,1589,37.2,6190.07,203
7409,1,0,310.9,11.1,2084,17.6,3840.95,175
1553,1,0,308.8,10.3,1332,59.1,8243.66,115
7278,0,0,310.1,10.1,1714,28.7,5151.35,55
9638,0,0,310.4,11.1,1393,44.9,6549.77,162
7875,1,0,312.3,11.6,1898,24.0,4770.19,60
4140,1,0,310.2,8.5,1331,61.2,8530.18,47
6769,1,0,310.8,9.6,1392,52.6,7667.5,23
2322,1,0,308.7,9.5,1514,41.9,6643.07,196
8869,1,0,309.0,11.1,1528,37.5,6000.44,54
6390,1,0,309.8,9.5,1450,55.0,8351.4,135
8985,1,0,307.8,10.7,1584,42.3,7016.56,135
1136,1,0,307.8,10.9,1557,38.1,6212.15,135
1372,0,1,310.3,11.5,1573,41.8,6885.47,91
6757,1,0,311.2,9.4,1822,26.2,4998.94,204
6996,0,1,310.6,10.1,1621,32.0,5432.02,184
7462,1,0,311.3,11.3,1703,30.4,5421.47,85
4563,1,0,310.7,8.0,1977,20.0,4140.62,21
5457,0,1,312.5,9.5,1602,33.7,5653.55,135
7127,1,0,310.0,9.4,1438,53.8,8101.58,103
3931,0,1,311.7,9.0,1784,25.1,4689.18,177
1532,0,1,308.9,10.8,1417,39.2,5816.81,65
1964,0,1,307.5,9.7,1405,46.9,6900.46,113
5193,0,0,313.1,9.1,1408,39.8,5868.33,132
3221,1,0,309.6,9.0,1423,49.1,7316.7,74
3395,1,0,310.5,9.1,1647,33.3,5743.37,85
2335,1,0,308.4,9.2,1509,39.4,6226.07,0
4254,1,0,311.0,8.4,1284,68.0,9143.29,114
7019,1,0,310.8,10.0,1741,27.1,4940.79,39
7110,0,1,310.4,9.6,1518,36.0,5722.73,59
209,1,0,308.6,10.2,1477,44.0,6805.53,124
407,0,1,308.5,11.1,1600,42.1,7053.92,190
1745,1,0,308.0,9.5,1624,29.8,5067.93,160
4961,1,0,312.7,8.8,1800,24.3,4580.44,158
6734,0,1,310.9,9.3,1575,40.1,6613.84,139
3152,0,1,309.8,9.3,1473,42.3,6524.87,121
4122,1,0,310.6,8.4,1462,43.6,6675.17,0
2226,0,1,308.9,9.3,1685,27.8,4905.39,161
3892,0,1,311.1,8.8,1338,53.3,7468.13,63
2762,1,0,309.2,9.4,1479,44.4,6876.69,214
4888,1,0,312.4,8.7,1512,39.2,6206.78,184
8439,1,0,309.8,11.2,1637,34.6,5931.35,207
7964,1,0,312.1,11.2,1423,40.2,5990.45,63
6944,0,1,311.3,10.6,1487,39.8,6197.59,50
467,1,0,308.5,11.3,2182,16.5,3770.23,127
9320,1,0,309.3,10.9,1409,43.1,6359.41,166
8247,1,0,310.4,11.4,1713,28.0,5022.78,116
2722,1,0,309.3,9.7,1558,34.8,5677.74,115
8120,1,0,311.6,11.4,1767,26.4,4885.05,20
3389,0,1,310.7,9.2,1416,53.2,7888.66,69
5238,1,0,313.0,9.3,1457,44.1,6728.63,40
3740,1,0,311.2,8.9,1401,49.7,7291.61,118
4906,0,0,312.4,8.8,1436,45.6,6857.22,9
7171,0,1,310.2,10.0,1438,51.5,7755.23,7
7736,0,0,312.1,11.5,1354,46.9,6649.98,138
3980,0,1,311.3,9.1,1375,47.0,6767.51,98
7821,1,0,311.3,11.4,1802,24.4,4604.4,151
8114,0,0,311.8,11.4,2496,13.5,3528.64,5
4655,1,0,311.1,8.0,1854,22.6,4387.8,19
6916,0,1,311.3,10.4,1603,31.8,5338.13,190
646,0,1,309.4,11.7,1461,43.7,6685.91,142
9285,0,1,309.0,10.8,1410,47.6,7028.37,76
5136,1,0,313.4,9.2,1735,28.9,5250.81,192
3210,0,1,309.2,8.9,1364,47.6,6799.08,45
4630,1,0,311.2,8.3,1751,23.8,4364.07,196
6419,0,0,309.9,9.6,1394,46.7,6817.24,210
1292,0,1,309.7,11.0,1868,23.8,4655.67,118
2165,1,0,309.1,9.6,1476,47.8,7388.27,223
2990,1,0,309.8,9.2,1688,28.6,5055.53,135
9254,1,0,309.1,10.8,1616,31.1,5262.96,195
8377,1,0,309.7,10.9,1336,50.3,7037.25,44
4689,0,1,311.5,8.1,1560,36.4,5946.41,114
6090,1,0,310.8,9.9,1708,29.1,5204.87,14
2170,0,1,309.1,9.7,1500,43.3,6801.55,10
5468,1,0,312.3,9.5,1764,29.9,5523.3,162
9047,1,0,308.4,11.1,1488,37.4,5827.78,69
185,1,0,308.2,10.0,1446,38.2,5784.43,61
6397,0,1,309.6,9.6,1587,32.6,5417.8,152
9497,0,0,309.9,10.8,1443,40.3,6089.76,0
4118,1,0,310.6,8.6,1366,47.7,6823.35,206
4137,1,0,310.1,8.4,1384,50.5,7319.07,38
2773,1,0,309.4,9.5,1858,22.5,4377.81,22
5415,0,1,312.4,9.8,1410,50.3,7427.04,33
1066,0,1,307.8,10.9,1544,40.3,6516.0,150
3685,0,1,311.1,9.2,1380,51.6,7456.88,184
8044,1,0,311.8,11.1,1441,38.1,5749.33,34
5633,1,0,312.2,9.5,1447,47.5,7197.65,166
5853,1,0,311.0,9.8,1567,35.1,5759.76,64
6911,1,0,311.1,10.3,1480,41.1,6369.89,176
5583,1,0,312.0,9.5,1673,29.9,5238.36,42
8360,1,0,309.6,11.0,1540,35.8,5773.41,5
1137,1,0,307.8,10.9,1653,29.7,5141.12,137
1419,1,0,309.8,11.1,1354,53.3,7557.44,212
2936,0,1,309.7,8.8,1394,48.8,7123.79,192
3308,1,0,310.4,9.0,1433,43.4,6512.75,86
8539,1,0,309.4,10.9,1517,40.2,6386.17,45
8603,0,0,308.0,10.7,1384,49.1,7116.17,206
9206,0,1,308.9,11.0,1547,44.0,7128.06,72
6591,1,0,310.7,9.0,2023,20.9,4427.62,5
455,1,0,308.7,11.3,1429,57.4,8589.6,96
6941,1,0,311.4,10.6,1316,57.6,7937.92,43
7660,0,1,311.6,11.1,1246,52.9,6902.44,165
2572,0,1,309.1,9.7,1352,44.7,6328.68,172
7413,0,1,311.1,11.0,1616,35.2,5956.79,183
7088,0,1,310.3,9.7,1614,32.7,5526.88,0
1342,0,1,310.1,11.5,1596,33.0,5515.38,15
3260,0,1,310.0,8.7,2068,17.8,3854.78,176
483,1,0,309.0,11.6,1324,56.9,7889.13,173
1374,1,0,310.3,11.5,1553,36.8,5984.78,97
6490,1,0,309.9,9.2,1383,44.5,6444.82,176
7240,0,1,310.1,10.2,1362,56.3,8029.97,179
6614,1,0,310.6,8.9,1660,28.7,4989.06,66
9515,1,0,310.2,11.2,1682,28.8,5072.79,49
6392,1,0,309.7,9.6,1680,33.8,5946.41,140
556,1,0,309.4,11.9,1357,50.1,7119.45,137
8195,1,0,310.8,11.4,1376,53.9,7766.69,215
5367,0,1,312.5,9.4,1766,26.7,4937.77,157
75,1,0,308.9,10.1,1379,46.7,6743.88,204
8997,0,1,307.9,10.8,1609,38.9,6554.42,166
6736,1,0,311.0,9.3,1527,42.2,6748.08,144
7443,0,0,311.6,11.5,1589,37.9,6306.55,37
3129,1,0,309.6,9.5,1642,34.5,5932.27,53
462,1,0,308.7,11.3,1433,43.4,6512.75,116
9566,1,0,311.1,11.3,1603,35.1,5892.09,179
8768,0,1,308.7,11.2,1363,53.6,7650.49,194
8024,1,0,312.0,11.1,1493,38.7,6050.61,217
1601,1,0,307.8,10.0,1597,38.2,6388.47,11
9096,1,0,308.1,10.9,1712,30.9,5539.76,204
2176,0,1,309.3,9.7,1387,48.3,7015.4,25
8391,1,0,309.6,11.0,1423,42.7,6362.99,82
6229,1,0,310.9,9.6,2165,17.4,3944.9,143
7436,1,0,311.4,11.4,1487,41.2,6415.59,22
7454,1,0,311.6,11.4,1446,47.3,7162.39,66
4243,0,1,310.9,8.5,1435,42.3,6356.54,83
4765,1,0,312.0,8.3,1892,22.5,4457.92,79
2731,0,1,309.2,9.5,1597,32.9,5502.11,135
2448,1,0,308.9,9.5,1440,42.5,6408.85,87
5917,1,0,310.2,9.6,1341,52.6,7386.58,21
7276,0,1,310.3,10.2,1350,48.8,6898.94,50
9388,0,1,307.9,10.4,1544,37.9,6127.95,136
8334,0,1,309.7,10.9,1459,47.3,7226.78,141
4982,1,0,313.0,9.3,1811,24.3,4608.43,209
7446,1,0,311.8,11.6,1379,51.0,7364.84,46
683,1,0,309.0,11.3,1874,24.4,4788.37,28
9838,1,0,309.2,10.8,1425,45.5,6789.77,11
7266,1,0,310.5,10.1,1578,32.8,5420.13,26
6798,1,0,310.7,9.5,1676,32.4,5686.53,98
7531,0,0,311.4,11.3,1377,56.7,8176.09,50
3445,0,1,310.6,9.0,1599,36.1,6044.83,208
957,0,1,306.4,10.7,1387,40.1,5824.38,81
30,0,1,309.5,10.4,1339,48.2,6758.59,86
2427,1,0,308.3,9.4,1855,23.8,4623.27,33
471,0,0,308.8,11.5,1419,42.4,6300.53,139
6261,1,0,310.6,9.5,1417,47.6,7063.26,10
6985,0,0,311.1,10.3,1698,24.8,4409.79,156
4603,0,0,311.0,8.1,1452,58.3,8864.69,123
8042,1,0,311.9,11.1,1486,45.1,7018.17,30
3845,1,0,311.0,8.7,1591,32.7,5448.12,171
9537,0,1,310.6,11.3,1457,42.1,6423.48,104
8116,1,0,311.8,11.5,2004,19.6,4113.22,12
4092,0,0,310.5,8.5,1812,24.4,4629.95,138
4473,1,0,310.5,7.8,1551,35.9,5830.89,6
6097,0,0,310.8,9.9,1477,38.4,5939.37,31
6549,0,0,310.6,9.3,1527,44.0,7035.91,114
6821,0,1,310.6,9.8,1545,37.5,6067.2,155
6661,0,1,310.4,9.1,1501,39.8,6255.94,187
7719,0,0,311.7,11.1,1535,33.3,5352.8,92
1982,0,1,307.7,9.7,1487,41.3,6431.16,160
2755,1,0,309.2,9.5,1478,38.8,6005.3,199
1151,1,0,307.9,10.9,1350,47.7,6743.43,168
830,1,0,307.4,10.8,1631,35.0,5977.93,168
2765,0,1,309.4,9.5,1399,54.8,8028.36,3
5351,0,1,312.9,9.4,1530,34.5,5527.63,110
5615,0,1,312.2,9.2,1257,71.3,9385.41,122
7068,1,0,310.7,9.9,1461,42.8,6548.21,173
6011,1,0,310.8,10.0,1564,36.2,5928.9,31
8656,0,1,308.3,11.0,1697,27.4,4869.24,121
1831,0,1,307.3,9.5,1315,54.0,7436.15,180
7128,1,0,310.0,9.4,1511,36.9,5838.74,105
2564,1,0,309.1,9.8,1493,38.0,5941.17,151
3602,0,1,310.6,8.9,1417,45.2,6707.13,185
5493,1,0,312.4,9.6,1376,57.1,8227.79,8
3220,0,1,309.6,8.9,1525,36.5,5828.96,71
9992,1,0,308.4,9.6,1484,39.2,6091.84,8
3047,1,0,309.4,9.2,1558,38.3,6248.77,51
2520,1,0,308.6,9.8,1535,41.2,6622.69,40
2769,0,1,309.6,9.6,1477,38.1,5892.97,13
5739,0,1,311.7,9.5,1653,31.4,5435.4,2
1408,1,0,310.0,11.1,1452,48.9,7435.4,185
7582,0,0,311.2,10.8,1489,45.3,7063.53,180
4032,1,0,310.8,8.8,1383,50.3,7284.82,231
91,1,0,308.9,10.0,1830,24.9,4771.77,35
7478,1,0,311.3,11.2,1479,39.5,6117.78,133
7820,0,1,311.2,11.4,1706,29.2,5216.64,148
4201,1,0,311.0,8.6,2211,15.4,3565.64,203
414,1,0,308.4,11.0,1588,32.5,5404.59,207
7381,1,0,310.3,10.6,1495,43.1,6747.57,101
4880,0,1,312.6,8.8,1527,41.9,6700.11,159
2305,0,0,308.5,9.3,1342,47.5,6675.36,147
5490,1,0,312.1,9.5,1288,68.5,9239.21,0
121,1,0,308.7,9.8,1558,41.2,6721.92,110
6314,0,1,310.4,9.4,1793,25.0,4694.06,142
9351,1,0,308.8,10.5,1645,30.4,5236.83,33
4285,1,0,309.9,8.2,1317,49.0,6757.88,187
6353,0,1,309.6,9.6,1491,42.0,6557.76,29
7056,0,1,310.5,9.7,1409,50.6,7466.04,141
69,1,0,309.0,10.1,1410,65.7,9700.92,191
5799,1,0,310.8,9.3,1593,34.5,5755.24,162
9658,1,0,309.9,10.9,1548,34.5,5592.66,214
346,0,1,308.3,10.8,1459,45.2,6905.93,34
2971,0,1,309.5,8.8,1393,43.9,6403.9,81
4421,1,0,310.2,7.6,1325,62.4,8658.23,92
5168,0,0,313.4,9.3,1696,29.6,5257.1,65
6320,0,1,310.2,9.4,1304,52.5,7169.11,157
1733,1,0,308.0,9.6,1515,42.8,6790.24,125
3821,1,0,310.9,8.6,1596,33.5,5598.95,104
1899,1,0,307.5,9.7,1388,40.0,5814.04,159
7973,1,0,312.3,11.2,1682,29.7,5231.32,83
6205,0,1,310.7,9.8,1696,27.3,4848.61,76
5155,0,0,313.3,9.1,1625,37.3,6347.33,27
5678,0,1,311.7,9.5,1584,36.2,6004.71,63
2090,1,0,309.2,9.7,1393,47.3,6899.87,20
5735,1,0,311.8,9.4,1673,30.1,5273.4,210
1315,1,0,310.3,11.3,1520,45.0,7162.83,171
4422,0,1,310.2,7.6,2157,17.2,3885.14,94
7996,0,1,312.2,11.2,1499,41.5,6514.46,140
3574,1,0,310.6,8.9,1406,46.0,6772.85,112
3394,1,0,310.6,9.1,1405,42.3,6223.65,83
6532,0,0,310.6,9.4,1352,52.0,7362.22,69
9892,0,0,309.7,10.8,1407,48.6,7160.76,161
9777,1,0,309.6,11.0,1387,57.6,8366.19,50
1079,1,0,307.7,10.7,1731,28.5,5166.19,186
9058,0,1,308.3,11.1,1326,57.2,7942.7,100
2287,1,0,308.6,9.2,1746,26.8,4900.13,107
7004,1,0,310.6,10.1,1950,20.3,4145.33,208
1520,1,0,309.1,10.8,1472,40.1,6181.31,31
6435,1,0,309.9,9.6,1621,34.1,5788.5,36
4356,1,0,309.8,7.8,1649,31.0,5353.17,152
9224,1,0,309.0,11.1,1450,46.8,7106.28,118
5764,1,0,311.2,9.5,1589,37.9,6306.55,75
7764,0,1,311.7,11.3,1555,38.7,6301.88,5
7300,1,0,310.6,10.4,1431,42.3,6338.82,113
6815,1,0,310.7,9.8,1427,44.1,6590.09,141
5096,0,0,313.5,9.3,1627,32.2,5486.21,91
7936,1,0,311.7,10.9,1490,46.4,7239.9,217
4310,1,0,310.0,8.6,1776,25.6,4761.15,30
5555,1,0,312.0,9.5,1411,44.2,6530.97,177
8732,1,0,308.6,11.4,1864,23.6,4606.66,103
9456,1,0,309.3,10.8,1630,33.3,5684.08,116
6728,1,0,310.9,9.4,1891,23.2,4594.18,122
6464,0,1,309.9,9.4,1735,27.0,4905.6,107
1538,1,0,309.1,10.7,1798,29.6,5573.27,81
654,1,0,309.2,11.4,1683,30.9,5445.92,163
5273,1,0,313.1,9.5,1395,44.1,6442.31,120
7624,1,0,311.7,11.1,1507,45.5,7180.48,74
949,1,0,306.3,10.7,1636,32.7,5602.21,56
4891,0,1,312.3,8.6,1756,26.4,4854.64,190
4777,0,1,312.2,8.7,1818,23.6,4492.98,109
1922,1,0,307.8,9.8,1716,26.6,4780.0,9
2311,0,1,308.6,9.5,1491,38.5,6011.28,166
2498,1,0,308.9,9.8,1467,47.2,7251.05,218
1697,0,1,307.6,9.7,1519,44.0,6999.05,37
301,1,0,308.4,10.7,1740,27.1,4937.96,136
7425,0,1,311.4,11.4,1791,24.1,4520.03,213
2342,0,1,308.2,9.0,1674,28.2,4943.48,14
3744,1,0,311.4,8.9,1409,53.1,7834.91,126
2372,0,1,308.5,9.2,1404,49.4,7263.11,93
6966,1,0,311.0,10.3,1969,20.7,4268.2,109
6384,0,0,309.6,9.5,1463,45.1,6909.55,113
4643,1,0,311.4,8.2,1324,54.2,7514.77,228
9125,1,0,308.5,11.1,1569,34.2,5619.24,72
3061,1,0,309.1,9.0,1353,58.7,8316.96,86
5516,1,0,312.0,9.4,1674,32.2,5644.69,70
8244,1,0,310.4,11.4,1512,38.8,6143.45,109
1610,1,0,307.8,10.0,1573,37.9,6243.05,33
7351,1,0,310.2,10.5,1458,43.4,6626.37,28
7139,1,0,310.1,9.5,1495,42.3,6622.32,132
6308,0,1,310.1,9.3,1686,26.9,4749.4,128
2179,1,0,309.2,9.6,1601,33.3,5582.96,33
7052,0,0,310.4,9.8,1510,42.8,6767.83,124
6673,1,0,310.7,9.1,1380,51.8,7485.79,216
8808,1,0,308.6,11.2,1446,48.1,7283.53,88
7584,1,0,311.2,10.8,1472,37.3,5749.7,187
2908,1,0,309.5,8.8,1251,59.9,7847.16,120
4679,1,0,311.8,8.2,1695,30.7,5449.25,90
5870,1,0,311.1,9.6,2055,16.8,3615.34,105
4160,0,1,310.4,8.4,1608,33.1,5573.69,97
4733,1,0,311.6,8.3,1484,44.6,6931.02,223
7517,1,0,311.7,11.4,1445,47.3,7157.44,15
6599,1,0,310.7,9.1,1494,39.5,6179.83,24
7372,1,0,310.2,10.6,1473,42.7,6586.57,81
8716,0,1,308.6,11.5,1717,31.3,5627.86,61
8694,1,0,308.5,11.3,1766,25.8,4771.33,7
5765,1,0,311.3,9.6,1708,30.5,5455.27,77
3327,0,1,310.6,9.1,2432,14.2,3616.43,126
2517,1,0,308.5,9.7,1395,44.4,6486.13,33
241,1,0,308.1,10.1,1777,24.3,4521.91,200
5512,1,0,312.2,9.4,1682,30.9,5442.68,58
1323,1,0,310.1,11.2,1361,51.7,7368.47,192
6714,1,0,310.6,9.3,1440,53.8,8112.85,90
7810,1,0,311.5,11.4,2218,17.0,3948.56,123
1540,0,1,309.1,10.7,1525,39.3,6276.12,86
7024,1,0,310.6,10.0,2127,18.7,4165.22,53
8894,0,1,308.7,11.2,1546,38.0,6152.08,123
402,1,0,308.6,11.2,1678,32.3,5675.75,180
7448,1,0,311.8,11.5,1488,38.4,5983.6,51
6473,0,0,309.5,9.1,1547,50.7,8213.47,131
7513,1,0,311.8,11.4,2261,14.9,3527.89,5
2314,1,0,308.9,9.7,1368,47.2,6761.71,175
8171,0,0,311.4,11.4,1641,34.5,5928.66,155
4465,1,0,310.6,7.8,1404,43.2,6351.55,203
9577,0,1,310.7,11.2,1364,49.5,7070.47,0
2632,0,1,309.7,9.7,1652,28.6,4947.72,112
6338,1,0,309.9,9.5,1681,28.6,5034.57,206
9345,1,0,308.8,10.6,1442,47.0,7097.28,18
5085,0,1,313.0,9.0,1377,56.0,8075.15,61
9802,0,0,309.3,10.9,1984,19.2,3989.07,132
4868,1,0,312.4,8.8,1418,46.0,6830.66,128
3198,0,1,309.1,9.1,1463,45.7,7001.47,11
2673,1,0,309.4,9.6,1480,40.9,6338.9,2
135,0,1,308.5,9.7,1711,28.5,5106.5,140
5927,1,0,310.1,9.9,1649,30.5,5266.83,43
5861,1,0,311.0,9.7,1554,47.7,7762.44,84
8481,0,1,309.4,11.1,1595,29.0,4843.81,103
3182,0,1,309.3,9.2,1443,50.3,7600.86,196
1946,1,0,308.1,9.9,1622,34.9,5927.95,67
5749,0,0,311.8,9.6,1330,62.4,8690.9,31
4842,0,1,311.8,8.5,1489,49.4,7702.83,64
6782,1,0,310.8,9.5,1531,53.4,8561.41,57
6306,1,0,310.4,9.4,1563,34.4,5630.49,124
436,1,0,308.3,11.0,1504,36.3,5717.2,45
3866,1,0,311.6,9.0,1311,53.2,7303.7,0
4752,0,0,311.3,8.0,1502,39.5,6212.92,38
2767,1,0,309.5,9.5,1925,21.9,4414.72,9
7479,0,1,311.3,11.2,1523,34.1,5438.55,135
5213,0,1,312.6,8.9,1429,43.3,6479.61,189
2823,0,1,309.5,9.2,1320,62.2,8597.91,142
6480,1,0,309.9,9.2,1775,26.6,4944.34,149
1725,0,1,307.8,9.5,1392,50.4,7346.8,101
